id dam sire mtHap
BBG15 DID08 DIN10 137
HEL05 ORC95 TNY94 138
BCA14 CBS09 LAPHR 140
BCA16 CBS09 SHAGG 140
BCA17 CBS09 GLR09 140
BCA19 CBS09 WSD11 140
BCA20 CBS09 GLR09 140
BCA21 CBS09 GLR09 140
BCL84 BUC81 FOL77 144
BCL86 BUC81 LTNIK 144
BCL87 BUC81 RED79 144
BCL88 BUC81 RHY82 144
BCL89 BUC81 CUR81 144
BCL90 BUC81 RED79 144
BCL91 BUC81 FOL84 144
BCL93 BUC81 FLY86 144
BCL94 BUC81 FOL84 144
BCL95 BUC81 WEE85 144
BCL96 BUC81 TYS89 144
MAJ19 PRC06 HOP12 138
RPP05 RUF00 BULBY 143
RPP06 RUF00 FLG00 143
RPP08 RUF00 AIDAN 143
RPP09 RUF00 IVY96 143
RPP10 RUF00 BRAVO 143
RPP11 RUF00 SYC00 143
RPP12 RUF00 BRAVO 143
RPP13 RUF00 RBY07 143
BEE89 PET85 ROCKY 147
BEE91 PET85 TYS83 147
HIM13 OXY06 STERN 147
HIM15 OXY06 SPL04 147
BEE96 PET85 AVO84 147
BEL08 TIN02 ZUC98 140
HIR01 FUL93 DPU94 153
HIR03 FUL93 SANDY 153
HIR08 FUL93 AIDAN 153
HIR98 FUL93 TYS89 153
BHN04 MAS99 SYC96 133
BIE00 CFI94 BCL90 142
HNY14 NEC08 TONKS 139
RUF06 GOD97 CSK93 143
BIE03 CFI94 BULBY 142
BIE04 CFI94 BULBY 142
BIE06 CFI94 CSK93 142
BIE08 CFI94 MOU02 142
BIE97 CFI94 WOD90 142
BIE99 CFI94 JUG90 142
HOC11 HOL97 FLG00 147
HOL00 ILE86 SLT86 147
HOL04 ILE86 MAL95 147
HOL91 ILE86 TYS83 147
BIJ16 OPA07 CLW00 143
BIL84 WHO79 LTNIK 150
HOL97 ILE86 WOD90 147
HON00 SUN93 RHINO 138
HON02 SUN93 CHP90 138
HON04 SUN93 ATH91 138
HON06 SUN93 FRO95 138
CLT95 CCO87 WEE85 142
SAE17 RUB12 WSD11 130
HOO05 CGH00 FRA96 143
BLI19 CBS15 LAURE 140
BLI20 CBS15 GLR09 140
BLI21 CBS15 GLR09 140
BLL18 MCQ14 ULU12 144
HPI19 SOX14 OXY09 147
HRM90 INI86 LIGHT 136
HRM91 INI86 RED79 136
HRM92 INI86 LEN83 136
BMA10 CHN06 KAR02 138
BMA11 CHN06 KAR02 138
SAG08 SEM95 MND99 155
BMA13 CHN06 LAPHR 138
BMA15 CHN06 BOBBY 138
BMA17 CHN06 SLITT 138
BMA19 CHN06 HUMBL 138
BMB10 SSK06 CLW00 151
HRT15 WAS10 STERN 147
BMY17 GNB12 ZAPHO 147
BMY19 GNB12 WSD11 147
BMY21 GNB12 UHA14 147
CMT10 MLN00 SYC02 147
BNJ01 FDL96 ATH91 137
BNN00 OAT94 CRAGS 155
BNN01 OAT94 EGR88 155
BNN02 OAT94 CSK93 155
BNN03 OAT94 BUZZA 155
BNN04 OAT94 CSK93 155
BNN98 OAT94 FUL90 155
BNN99 OAT94 EGR88 155
ILE86 CHE80 LTNIK 147
ILE87 CHE80 TER75 147
BNS10 PCL02 STE05 133
BNT15 BMB10 TONKS 151
ILE92 CHE80 VER81 147
SCA95 LOB86 SOL89 151
BNX94 FUL89 VER84 153
BNX95 FUL89 CUR85 153
BNX96 FUL89 PEP85 153
BNX97 FUL89 SCI87 153
